2026-04-22 16:47:22,656 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:22,694 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:22,694 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:32,680 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:32,919 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:32,976 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:32,976 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:34,888 [ALLOW] None 192.168.64.2 -> 192.168.64.1 | rule: Allow all
2026-04-22 16:47:34,997 [ALLOW] None 192.168.64.1 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:41,038 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:41,041 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:42,133 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:42,134 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:42,207 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:42,208 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:42,659 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:42,704 [ALLOW] TCP 176.34.164.201 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:42,706 [ALLOW] TCP 192.168.64.2 -> 176.34.164.201 | rule: Allow all
2026-04-22 16:47:45,697 [ALLOW] None 192.168.64.2 -> 192.168.64.1 | rule: Allow all
2026-04-22 16:47:45,698 [ALLOW] None 192.168.64.2 -> 192.168.64.1 | rule: Allow all
2026-04-22 16:47:45,698 [ALLOW] None 192.168.64.2 -> 192.168.64.1 | rule: Allow all
2026-04-22 16:47:45,698 [ALLOW] None 192.168.64.1 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,699 [ALLOW] None 192.168.64.1 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,708 [ALLOW] None 192.168.64.1 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,729 [ALLOW] UDP 192.168.64.2 -> 18.168.172.238 | rule: Allow all
2026-04-22 16:47:45,735 [ALLOW] UDP 192.168.64.2 -> 18.168.172.238 | rule: Allow all
2026-04-22 16:47:45,739 [ALLOW] UDP 192.168.64.2 -> 18.168.172.238 | rule: Allow all
2026-04-22 16:47:45,763 [ALLOW] UDP 18.168.172.238 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,772 [ALLOW] UDP 18.168.172.238 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,776 [ALLOW] UDP 18.168.172.238 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,776 [ALLOW] UDP 18.168.172.238 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,776 [ALLOW] UDP 18.168.172.238 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,776 [ALLOW] UDP 18.168.172.238 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,776 [ALLOW] UDP 18.168.172.238 -> 192.168.64.2 | rule: Allow all
2026-04-22 16:47:45,792 [ALLOW] UDP 192.168.64.2 -> 18.168.172.238 | rule: Allow all
